,Aplicativo,Tempo de uso,Número de acessos,hora,minuto,segundo
128,Camicado,0:16:28,2.0,0,16,28
129,Clube Extra,0:16:23,19.0,0,16,23
130,Messenger,0:16:11,45.0,0,16,11
131,Chess Universe,0:15:05,7.0,0,15,5
132,Gerenciador de Arquivos,0:14:56,43.0,0,14,56
133,Download Twitter Videos,0:14:36,51.0,0,14,36
134,Geometry Dash Lite,0:14:30,5.0,0,14,30
135,IMDb,0:14:26,9.0,0,14,26
136,Classic Blocks,0:14:05,3.0,0,14,5
137,supercat 2,0:13:31,7.0,0,13,31
138,Tap Scanner,0:12:55,2.0,0,12,55
139,UNO,0:12:51,3.0,0,12,51
140,Jewels Star,0:12:35,6.0,0,12,35
141,Exodus,0:12:23,9.0,0,12,23
142,Wallpaper Camisa SPFC,0:12:22,12.0,0,12,22
143,Arquivos,0:12:01,35.0,0,12,1
144,TwiMate Downloader,0:11:56,47.0,0,11,56
145,Contatos,0:11:40,24.0,0,11,40
146,Instalador do pacote,0:11:24,271.0,0,11,24
147,Telephony Service,0:11:10,12.0,0,11,10
148,Sticky Notes,0:11:02,28.0,0,11,2
149,OneNote,0:10:46,5.0,0,10,46
150,Udemy,0:10:13,12.0,0,10,13
151,Manga Master,0:10:11,13.0,0,10,11
152,Hirota Food,0:10:11,10.0,0,10,11
153,Interf sist,0:10:06,340.0,0,10,6
154,DaTuner,0:10:05,4.0,0,10,5
155,Sleepy,0:09:51,7.0,0,9,51
156,Google Fit,0:09:30,36.0,0,9,30
157,QR Scanner,0:09:26,22.0,0,9,26
158,Wattpad,0:09:26,3.0,0,9,26
159,Assistente de áudio,0:08:42,30.0,0,8,42
160,Sinônimos,0:08:09,12.0,0,8,9
161,Trello,0:08:00,20.0,0,8,0
162,Notas do Keep,0:07:56,13.0,0,7,56
163,PicPay,0:07:55,8.0,0,7,55
164,Resultados,0:07:40,17.0,0,7,40
165,Twitch,0:07:37,10.0,0,7,37
166,a_nexo,0:07:31,10.0,0,7,31
167,Burger King,0:07:20,7.0,0,7,20
168,Bubble Shooter,0:07:04,3.0,0,7,4
169,Toolkit do SIM,0:06:58,56.0,0,6,58
170,Sugestões de configurações,0:06:39,29.0,0,6,39
171,Sleep Time,0:06:35,23.0,0,6,35
172,CaptivePortalLogin,0:06:27,10.0,0,6,27
173,Shortcut Run,0:06:15,2.0,0,6,15
174,Bússola,0:06:13,2.0,0,6,13
175,CAIXA | Auxílio Emergencial,0:06:09,7.0,0,6,9
176,Brawl Stats,0:05:58,5.0,0,5,58
177,Poke Genie,0:05:53,24.0,0,5,53
178,Google Opinion Rewards,0:05:50,12.0,0,5,50
179,Calculadora,0:05:49,4.0,0,5,49
180,Gboard,0:05:39,14.0,0,5,39
181,Timehop,0:05:34,8.0,0,5,34
182,Brasil nos Jogos de Tóquio,0:05:31,10.0,0,5,31
183,Shoot 2048,0:05:31,2.0,0,5,31
184,Bullet Echo,0:05:24,2.0,0,5,24
185,Get aCC_e55,0:05:20,2.0,0,5,20
